@relation R_data_frame

@attribute surgery {yes,no}
@attribute Age {adult,young}
@attribute rectal_temperature {1,2,3}
@attribute pulse {1,2,3,4,5,6,7}
@attribute respiratory_rate {1,2,3,4,5,6,7}
@attribute temp_extremities {normal,warm,cool,cold}
@attribute peripheral_pulse {normal,increased,reduced,absent}
@attribute mucous_membranes {'normal pink','bright pink','pale pink','pale cyanotic','bright red','dark cyanotic'}
@attribute capillary_refill_time {<3,>=3,'meaning unknown'}
@attribute pain {'alert no pain',depressed,'intermittent mild pain','intermittent severe pain','continuous severe pain'}
@attribute peristalsis {hypermotile,normal,hypomotile,absent}
@attribute abdominal_distension {none,slight,moderate,severe}
@attribute nasogastric_tube {none,slight,significant}
@attribute nasogastric_reflux {none,>1l,<1l}
@attribute nasogastric_reflux_PH {1,2,3,4,5}
@attribute rectal_examination {normal,increased,decreased,absent}
@attribute abdomen {normal,other,'firm feces in large intestine','distended small intestine','distended large intestine'}
@attribute packed_cell_volume {1,2,3,4,5,6}
@attribute total_protein {1,2,3,4,5}
@attribute abdominocentesis_appearance {clear,cloudy,serosanguinous}
@attribute abdomcentesis_total_protein {1,2,3,4,5}
@attribute outcome {lived,died,euthanized}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
no,adult,2,3,1,cool,reduced,'normal pink',>=3,'continuous severe pain',absent,severe,slight,none,3,decreased,'distended large intestine',2,2,cloudy,1,died,-1
yes,adult,2,5,1,cool,normal,'pale cyanotic',<3,'intermittent mild pain',absent,slight,slight,none,3,absent,other,5,4,cloudy,1,euthanized,-1
no,adult,2,1,1,normal,normal,'pale pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,normal,normal,1,1,cloudy,1,lived,-1
yes,young,2,7,6,cold,normal,'dark cyanotic',>=3,depressed,absent,severe,none,>1l,3,decreased,'distended large intestine',4,1,serosanguinous,3,died,1
no,adult,1,6,2,cool,normal,'dark cyanotic',>=3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',6,2,cloudy,1,died,-1
no,adult,2,3,2,warm,normal,'pale pink',<3,depressed,hypomotile,slight,slight,none,3,decreased,'firm feces in large intestine',3,2,cloudy,1,lived,-1
yes,adult,1,1,1,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,moderate,none,none,3,decreased,'distended large intestine',1,1,cloudy,1,lived,1
yes,adult,2,2,2,cool,normal,'normal pink',<3,'intermittent mild pain',absent,slight,slight,none,3,decreased,'distended small intestine',2,2,cloudy,1,died,1
no,adult,2,4,2,cool,absent,'pale pink',<3,'intermittent severe pain',absent,severe,slight,none,3,decreased,'distended large intestine',1,1,cloudy,1,euthanized,1
no,young,2,5,2,normal,normal,'normal pink',<3,'continuous severe pain',hypomotile,none,slight,none,3,decreased,'distended large intestine',1,1,clear,1,lived,-1
yes,adult,2,3,1,cool,reduced,'bright red',<3,'intermittent mild pain',hypomotile,none,slight,none,2,increased,'distended large intestine',2,1,cloudy,3,lived,1
no,adult,2,3,2,warm,normal,'bright pink',<3,depressed,hypermotile,slight,none,none,3,absent,'distended small intestine',5,2,cloudy,1,lived,1
