@relation R_data_frame

@attribute name {'Aaron Feigelson','Alexander M. Meystel','Alma Whitten','Ameur Foued','Andrew W. Moore','Andrew Y. Ng','Andrey Burago','Anselm Blumer','Antoine Cornuejols','Arlindo Oliveira','Armand Prieditis','Arun Sharma','Attilio Giordana','Aurora Perez','Avrim Blum','Bala Kalyanasundaram','Barak A. Pearlmutter','Bernhard Pfahringer','Bhaskar Dasgupta','Bill Byrne','Bir Bhanu','Bob Evans','Bradley L. Whitehall','Brian D. Davidson','Brian Tester','Bruce A. MacDonald','Carl H. Smith','Carla E. Brodley','Charles X. Ling','Chen K. Tham','Chidanand Apte','Chris Darken','Chris Drummond','Chun-Nan Hsu','Claire Cardie','Clare Bates Congdon','Claude Sammut','Claudio Facchinetti','Craig Knoblock','Craig Nevill-Manning','Cristina Baroglio','Cullen Schaffer','Dan Oblinger','Dan Roth','Dana Angluin','Dana Ron','Daniel Hennessy','Daniel Kortenkamp','Daniel L. Silver','Darko Zupanic','David B. Skalak','David Cohn','David Finton','David Gillman','David Haussler','David Helmbold','David Loewenstern','David Mathias','David Montgomery','David Pierce','David W. Aha','David W. Opitz','Dennis F. Kibler','Diana Gordon','Donna Slonim','Drago Indjic','Dunja Mladenic','Earl S. Harris Jr.','Ed Pednault','Eddy Mayoraz','Efim Kinber','Emanuel Knill','Eric Allender','Eric Baum','Eyal Kushilevitz','Fernando Pereira','Filippo Neri','Foster J. Provost','Frank Stephan','Gary M. Selzer','Gary Weiss','Geoffrey Gordon','George A. Drastal','George Berg','George H. John','Gerald F. DeJong','Glenn Silverstein','Grigoris Karakoulas','Hal Duncan','Haralabos Athanassiou','Harris Drucker','Haym Hirsh','Hiroshi Motoda','Hiroshi Tanaka','Holly Yanco','Huw Roberts','Irina Tchoumatchenko','J. Jeffrey Mahoney','J. R. Quinlan','James S. Royer','Janusz Wnek','Jason Catlett','Javed Aslam','Jean Gabriel Ganascia','Jean-Daniel Zucker','Jeff Jackson','Jeffery Clouse','Jiarong Hong','Jing Peng','Joe Suzuki','Joel Ratsaby','Johanne Morin','Johannes Furnkranz','John Case','John Fischer','John M. Zelle','John R. Rose','John Rachlin','Jonathan Gratch','Jonathan Hodgson','Jong-Hoon Oh','Jorg-Uwe Kietz','Jose L. Balcazar','Joseph O\'Sullivan','Jude Shavlik','Judy A. Franklin','Justin Boyan','Justinian Rosca','Jyrki Kivinen','Kamal M. Ali','Kan Deng','Karsten Verbeurgt','Kate Goelz','Kazushi Ikeda','Ken Lang','Kenji Yamanishi','Kimmen Sjolander','Klaus P. Jantke','Krishnan Pillaipakkamnatt','L. Thorne McCarty','Lance Fortnow','Lance Riley','Lars Asker','Leonard Pitt','Leslie Grate','Leslie Pack Kaelbling','Lindley Darden','Lisa Hellerstein','Long-Ji Lin','Lorenza Saitta','Lorien Y. Pratt','Lyle H. Ungar','Maja Mataric','Malini Bhandaru','Mandayam T. Suraj','Manfred Warmuth','Marcos Salganicoff','Margo Guertin','Mario Marchand','Mark Changizi','Mark Schwabacher','Mark Staley','Mark W. Craven','Marko Grobelnik','Martin Kummer','Martinch Krikis','Mary Soon Lee','Masayuki Inaba','Matevz Kovacic','Matthias Heger','Melinda T. Gervasio','Merrick L. Furst','Michael A. meystel','Michael I. Jordan','Michael J. Donahue','Michael Kearns','Michael Littman','Michael Redmond','Michael W. Barley','Michael de la Maza','Michele Sebag','Minoru Asada','Mona Singh','Moshe Koppel','Moshe Leshno','Myriam Abramson','Nader Bshouty','Naoki Abe','Nathalie Japkowicz','Neela Khan','Neil Berkman','Nicolas Fiechter','Nicolo Cesa-Bianchi','Nikolay Nikolaev','Nina Mishra','Nitin Indurkhya','Oded Maron','Olivier De Vel','Pang-Chieh Chen','Pascal Koiran','Pat Langley','Patricia J. Riddle','Patrick M. Murphy','Paul Fischer','Paul Utgoff','Paul Vitanyi','Paul W. Goldberg','Peter Bartlett','Phil Long','Philip Chan','Prasad Tadepalli','Priscilla Rasmussen','R. Andrew McCallum','R. Bharat Rao','Randolph Jones','Reinhard Blasig','Ricard Gavalda','Rich Maclin','Richard A. Caruana','Richard S. Sutton','Robert C. Holte','Robert P. Daley','Robert S. Roos','Robert Schapire','Robert Sloan','Robert Williamson','Roberto Piola','Ron Kohavi','Ronald L. Rivest','Roni Khardon','Ronitt Rubinfeld','Russell Greiner','Sally Goldman','Sandra Panizza','Sanjay Jain','Satinder Pal Singh','Scott E. Decatur','Sean Slattery','Sebastian Seung','Seth Flanders','Shai Ben-David','Shaul Markovitch','Sholom Weiss','Sonya Snedecor','Sreerama K. Murthy','Sridhar Mahadevan','Stan Matwin','Stefan Kramer','Steffen Lange','Stephen Kwek','Stephen Muggleton','Steve A. Chien','Steven Minton','Steven Salzberg','Steven W. Norton','Stuart Russell','Susan L. Epstein','Takefumi Yamazaki','Tal Grossman','Tapio Elomaa','Tatsuo Unemi','Thomas E. Kammeyer','Thomas Ellman','Thomas G. Dietterich','Thomas G. Spalthoff','Thomas Wengerek','Thomas Zeugmann','Timothy P. Barber','Tom Bylander','Tom Fawcett','Tom Hancock','Tom M. Mitchell','Toshiyasu Matsushima','Usama Fayyad','Vijay Raghavan','Von-Wun Soo','Wai Lam','Wan P. Chiang','Wee Sun Lee','Welton Becket','William A. Greene','William Cohen','William Gasarch','William Sakas','Wolfgang Janko','Wolfgang Maass','Wray Buntine','Xuemei Wang','Yishay Mansour','Yoav Freund','Yolanda Gil','Yoram Singer','Yoshifumi Sakai','Zhixiang Chen'}
@attribute length {1,2}
@attribute even_odd {0,1}
@attribute first_char_vowel {0,1}
@attribute second_char_vowel {0,1}
@attribute vowels {1,2}
@attribute consonants {1,2}
@attribute vowel_consonant_ratio {1,2}
@attribute spaces {1,2}
@attribute dots {1,2}
@attribute words {1,2}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
'Aaron Feigelson',2,0,1,1,1,1,2,1,1,1,1
'Alexander M. Meystel',2,1,1,0,1,2,1,2,2,2,-1
'Alma Whitten',1,1,1,0,1,1,1,1,1,1,-1
'Ameur Foued',1,0,1,0,1,1,2,1,1,1,-1
'Andrew W. Moore',2,0,1,0,1,1,2,2,2,2,-1
'Andrey Burago',2,0,1,0,1,1,2,1,1,1,-1
'Antoine Cornuejols',2,1,1,0,2,1,2,1,1,1,-1
'Armand Prieditis',2,1,1,0,1,1,1,1,1,1,-1
'Arun Sharma',1,0,1,0,1,1,1,1,1,1,-1
'Attilio Giordana',2,1,1,0,2,1,2,1,1,1,-1
'Avrim Blum',1,1,1,0,1,1,1,1,1,1,-1
'Bala Kalyanasundaram',2,1,0,1,2,2,2,1,1,1,1
'Barak A. Pearlmutter',2,1,0,1,1,2,2,2,2,2,1
'Bhaskar Dasgupta',2,1,0,0,1,2,1,1,1,1,-1
'Bill Byrne',1,1,0,1,1,1,1,1,1,1,1
'Bir Bhanu',1,0,0,1,1,1,1,1,1,1,1
'Bob Evans',1,0,0,1,1,1,1,1,1,1,1
'Bradley L. Whitehall',2,1,0,0,1,2,1,2,2,2,-1
'Brian D. Davidson',2,0,0,0,1,1,1,2,2,2,-1
'Brian Tester',1,1,0,0,1,1,1,1,1,1,-1
'Carl H. Smith',2,0,0,1,1,1,1,2,2,2,1
'Carla E. Brodley',2,1,0,1,1,1,1,2,2,2,1
'Charles X. Ling',2,0,0,0,1,1,1,2,2,2,-1
'Chen K. Tham',1,1,0,0,1,1,1,2,2,2,-1
'Chidanand Apte',2,1,0,0,1,1,1,1,1,1,-1
'Chris Drummond',2,1,0,0,1,2,1,1,1,1,-1
'Chun-Nan Hsu',1,1,0,0,1,1,1,1,1,1,-1
'Claire Cardie',2,0,0,0,1,1,2,1,1,1,-1
'Clare Bates Congdon',2,0,0,0,1,2,1,2,1,2,-1
'Claude Sammut',2,0,0,0,1,1,2,1,1,1,-1
'Claudio Facchinetti',2,0,0,0,2,2,2,1,1,1,-1
'Craig Knoblock',2,1,0,0,1,1,1,1,1,1,-1
'Craig Nevill-Manning',2,1,0,0,1,2,1,1,1,1,-1
'Cristina Baroglio',2,0,0,0,1,1,2,1,1,1,-1
'Cullen Schaffer',2,0,0,1,1,2,1,1,1,1,1
'Dan Oblinger',1,1,0,1,1,1,1,1,1,1,1
'Dan Roth',1,1,0,1,1,1,1,1,1,1,1
'Dana Angluin',1,1,0,1,1,1,2,1,1,1,1
'Dana Ron',1,1,0,1,1,1,2,1,1,1,1
'Daniel Hennessy',2,0,0,1,1,1,1,1,1,1,1
'Daniel Kortenkamp',2,0,0,1,1,2,1,1,1,1,1
'Daniel L. Silver',2,1,0,1,1,1,1,2,2,2,1
'Darko Zupanic',2,0,0,1,1,1,2,1,1,1,1
'David B. Skalak',2,0,0,1,1,1,1,2,2,2,1
'David Cohn',1,1,0,1,1,1,1,1,1,1,1
'David Finton',1,1,0,1,1,1,1,1,1,1,1
'David Haussler',2,1,0,1,1,1,1,1,1,1,1
'David Helmbold',2,1,0,1,1,1,1,1,1,1,1
'David Loewenstern',2,0,0,1,1,2,1,1,1,1,1
'David Mathias',2,0,0,1,1,1,2,1,1,1,1
'David Montgomery',2,1,0,1,1,2,1,1,1,1,1
'David Pierce',1,1,0,1,1,1,2,1,1,1,1
'David W. Aha',1,1,0,1,1,1,2,2,2,2,1
'Diana Gordon',1,1,0,1,1,1,2,1,1,1,1
'Donna Slonim',1,1,0,1,1,1,1,1,1,1,1
'Drago Indjic',1,1,0,0,1,1,1,1,1,1,-1
'Dunja Mladenic',2,1,0,1,1,1,1,1,1,1,1
'Earl S. Harris Jr.',2,1,1,1,1,1,1,2,2,2,1
'Ed Pednault',1,0,1,0,1,1,1,1,1,1,-1
'Eddy Mayoraz',1,1,1,0,1,1,1,1,1,1,-1
'Efim Kinber',1,0,1,0,1,1,1,1,1,1,-1
'Eric Allender',2,0,1,0,1,1,2,1,1,1,-1
'Eric Baum',1,0,1,0,1,1,2,1,1,1,-1
'Eyal Kushilevitz',2,1,1,0,1,1,1,1,1,1,-1
'Fernando Pereira',2,1,0,1,1,1,2,1,1,1,1
'Filippo Neri',1,1,0,1,1,1,2,1,1,1,1
'Foster J. Provost',2,0,0,1,1,2,1,2,2,2,1
'Frank Stephan',2,0,0,0,1,1,1,1,1,1,-1
'Gary M. Selzer',2,1,0,1,1,1,1,2,2,2,1
'Gary Weiss',1,1,0,1,1,1,1,1,1,1,1
'Geoffrey Gordon',2,0,0,1,1,1,1,1,1,1,1
'George A. Drastal',2,0,0,1,1,1,2,2,2,2,1
'George Berg',1,0,0,1,1,1,1,1,1,1,1
'George H. John',2,1,0,1,1,1,1,2,2,2,1
'Gerald F. DeJong',2,1,0,1,1,1,1,2,2,2,1
'Glenn Silverstein',2,0,0,0,1,2,1,1,1,1,-1
'Grigoris Karakoulas',2,0,0,0,2,2,2,1,1,1,-1
'Haralabos Athanassiou',2,0,0,1,2,2,2,1,1,1,1
'Harris Drucker',2,1,0,1,1,1,1,1,1,1,1
'Haym Hirsh',1,1,0,1,1,1,1,1,1,1,1
'Hiroshi Motoda',2,1,0,1,1,1,2,1,1,1,1
'Hiroshi Tanaka',2,1,0,1,1,1,2,1,1,1,1
'Holly Yanco',1,0,0,1,1,1,1,1,1,1,1
'Huw Roberts',1,0,0,1,1,1,1,1,1,1,1
'Irina Tchoumatchenko',2,1,1,0,2,2,2,1,1,1,-1
'J. Jeffrey Mahoney',2,1,0,0,1,2,1,2,2,2,-1
'J. R. Quinlan',2,0,0,0,1,1,1,2,2,2,-1
'James S. Royer',2,1,0,1,1,1,1,2,2,2,1
'Janusz Wnek',1,0,0,1,1,1,1,1,1,1,1
'Jason Catlett',2,0,0,1,1,1,1,1,1,1,1
