@relation R_data_frame

@attribute surgery {yes,no}
@attribute Age {adult,young}
@attribute rectal_temperature {1,2,3,4}
@attribute pulse {1,2,3,4}
@attribute respiratory_rate {1,2,3,4,5}
@attribute temp_extremities {normal,warm,cool,cold}
@attribute peripheral_pulse {normal,increased,reduced,absent}
@attribute mucous_membranes {'normal pink','bright pink','pale pink','pale cyanotic','bright red','dark cyanotic'}
@attribute capillary_refill_time {<3,>=3,'meaning unknown'}
@attribute pain {'alert no pain',depressed,'intermittent mild pain','intermittent severe pain','continuous severe pain'}
@attribute peristalsis {hypermotile,normal,hypomotile,absent}
@attribute abdominal_distension {none,slight,moderate,severe}
@attribute nasogastric_tube {none,slight,significant}
@attribute nasogastric_reflux {none,>1l,<1l}
@attribute nasogastric_reflux_PH {1,2,3,4,5}
@attribute rectal_examination {normal,increased,decreased,absent}
@attribute abdomen {normal,other,'firm feces in large intestine','distended small intestine','distended large intestine'}
@attribute packed_cell_volume {1,2}
@attribute total_protein {1,2,3}
@attribute abdominocentesis_appearance {clear,cloudy,serosanguinous}
@attribute abdomcentesis_total_protein {1,2,3,4,5,6,7}
@attribute outcome {lived,died,euthanized}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
no,adult,3,1,3,warm,normal,'normal pink',<3,'alert no pain',hypermotile,none,none,none,3,normal,normal,1,2,cloudy,3,lived,-1
no,adult,2,1,4,cold,reduced,'normal pink',<3,depressed,absent,moderate,slight,>1l,4,absent,'distended large intestine',2,1,clear,2,lived,-1
no,adult,1,2,1,normal,normal,'bright pink',<3,depressed,hypermotile,slight,significant,none,3,normal,'firm feces in large intestine',2,1,cloudy,3,lived,-1
yes,adult,1,3,4,cool,reduced,'pale cyanotic',<3,depressed,hypomotile,moderate,slight,<1l,1,absent,'distended large intestine',2,2,cloudy,3,euthanized,-1
no,adult,1,1,3,warm,normal,'bright pink',<3,'alert no pain',hypomotile,none,none,none,3,absent,'distended large intestine',2,2,cloudy,3,lived,-1
no,adult,3,1,2,warm,normal,'normal pink',<3,'alert no pain',hypomotile,slight,slight,none,3,absent,other,2,1,cloudy,3,lived,-1
yes,adult,1,1,3,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,normal,1,2,clear,2,euthanized,-1
no,adult,1,1,4,cool,normal,'bright red',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,died,-1
no,adult,3,2,3,warm,normal,'pale pink',<3,'intermittent mild pain',hypomotile,slight,none,none,3,normal,'distended large intestine',1,1,clear,3,lived,-1
yes,adult,3,1,3,normal,normal,'normal pink',<3,'intermittent mild pain',hypermotile,none,slight,none,3,increased,normal,2,1,clear,3,lived,-1
no,adult,1,1,1,normal,normal,'normal pink',<3,depressed,hypomotile,none,slight,none,3,absent,normal,1,1,cloudy,3,lived,-1
no,adult,1,1,3,cool,normal,'normal pink',<3,depressed,hypermotile,none,none,none,3,decreased,other,2,1,clear,3,lived,-1
no,adult,1,1,4,normal,normal,'pale pink',<3,depressed,hypermotile,none,none,none,3,absent,'distended large intestine',1,1,cloudy,3,lived,-1
no,adult,2,1,2,normal,normal,'pale pink',<3,'alert no pain',hypomotile,none,slight,none,3,normal,'distended large intestine',1,2,clear,2,lived,-1
yes,adult,1,1,3,normal,normal,'pale pink',>=3,'intermittent mild pain',absent,severe,slight,<1l,1,absent,'distended large intestine',2,2,cloudy,3,euthanized,1
yes,adult,2,1,4,normal,reduced,'pale pink',<3,'intermittent mild pain',absent,severe,none,<1l,1,absent,'distended large intestine',2,2,cloudy,3,lived,1
yes,adult,1,4,3,cool,reduced,'pale pink',<3,'continuous severe pain',hypomotile,moderate,none,none,3,absent,'distended large intestine',2,1,serosanguinous,3,died,1
yes,adult,1,1,1,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,moderate,slight,none,3,absent,'distended large intestine',2,2,cloudy,3,lived,1
yes,adult,1,1,3,normal,reduced,'pale pink',<3,'intermittent severe pain',absent,none,slight,<1l,4,increased,'distended large intestine',2,1,clear,4,died,1
no,adult,1,4,4,cold,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,none,none,3,absent,'distended large intestine',2,1,serosanguinous,3,died,1
yes,adult,1,3,4,cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,moderate,significant,none,3,absent,'distended large intestine',2,1,serosanguinous,2,died,1
yes,adult,1,1,2,cool,normal,'pale pink',<3,'intermittent severe pain',hypermotile,none,none,none,3,absent,'distended large intestine',1,2,cloudy,3,euthanized,1
no,adult,1,3,4,cool,normal,'pale pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,decreased,other,2,1,cloudy,3,lived,1
yes,adult,1,2,3,normal,reduced,'pale pink',<3,'continuous severe pain',hypomotile,none,none,none,3,decreased,'distended large intestine',2,2,serosanguinous,2,euthanized,1
yes,adult,1,1,3,cool,normal,'pale pink',<3,'intermittent severe pain',hypomotile,none,slight,none,3,decreased,'distended large intestine',2,2,cloudy,2,lived,1
no,adult,3,2,4,cool,reduced,'pale cyanotic',>=3,'intermittent mild pain',absent,moderate,slight,<1l,3,absent,'distended large intestine',2,1,clear,3,euthanized,1
yes,adult,3,1,2,normal,normal,'normal pink',<3,'intermittent mild pain',hypermotile,none,none,none,3,decreased,'distended large intestine',1,2,cloudy,3,lived,1
yes,adult,1,2,4,cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,3,absent,'distended large intestine',1,1,cloudy,3,lived,1
yes,adult,2,1,4,normal,normal,'pale pink',<3,depressed,hypermotile,none,none,none,3,absent,'distended small intestine',2,1,cloudy,4,lived,1
yes,young,2,4,5,normal,reduced,'bright pink',<3,depressed,hypomotile,severe,slight,none,3,absent,'distended large intestine',2,1,clear,3,lived,1
no,adult,1,2,4,cool,absent,'dark cyanotic',<3,'intermittent severe pain',hypomotile,severe,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,died,1
no,adult,1,1,2,cool,normal,'normal pink',<3,depressed,hypomotile,none,slight,<1l,1,normal,normal,2,3,cloudy,3,lived,1
yes,adult,1,2,4,cold,reduced,'pale cyanotic',<3,'intermittent severe pain',absent,moderate,slight,none,3,decreased,'distended large intestine',2,1,cloudy,3,died,1
yes,adult,1,1,1,cool,normal,'normal pink',>=3,'alert no pain',hypermotile,none,slight,none,3,absent,other,2,1,serosanguinous,6,lived,1
yes,adult,1,1,3,cold,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,none,slight,none,3,absent,'distended large intestine',2,1,cloudy,3,euthanized,1
yes,adult,1,2,3,cool,reduced,'dark cyanotic',>=3,'continuous severe pain',hypomotile,severe,none,none,3,absent,'distended large intestine',2,1,cloudy,3,died,1
no,adult,3,3,1,cool,normal,'bright red',<3,depressed,absent,slight,none,>1l,4,absent,'distended small intestine',2,1,cloudy,2,died,1
