@relation R_data_frame

@attribute Variance {1,2,3,4,5,6,7,8}
@attribute Skewness {1,2,3,4,5,6}
@attribute Curtosis {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@attribute Entropy {1,2,3,4}
@attribute TRAIN_Y_DISCRETIZED {-1,1}

@data
1,1,16,3,-1
1,1,16,3,-1
3,2,5,3,-1
1,5,9,1,-1
2,1,11,3,-1
5,3,1,2,-1
2,1,7,3,-1
1,1,13,3,-1
1,3,7,2,-1
1,1,16,3,-1
1,4,7,1,-1
1,5,7,1,-1
1,1,16,3,-1
1,3,9,3,-1
1,1,13,3,-1
1,2,11,3,-1
1,4,9,1,-1
1,1,13,3,-1
3,3,1,3,-1
1,1,11,3,-1
1,1,13,3,-1
1,1,9,3,-1
4,3,1,1,-1
1,3,9,3,-1
1,1,7,3,-1
1,1,16,3,-1
1,3,9,3,-1
1,2,7,3,-1
1,3,5,2,-1
2,1,11,3,-1
1,1,16,3,-1
1,1,18,3,-1
1,1,9,3,-1
5,3,1,2,-1
3,3,1,1,-1
2,1,9,3,-1
1,3,5,1,-1
2,2,5,3,-1
1,1,18,3,-1
2,2,5,3,-1
3,1,9,3,-1
1,1,11,3,-1
1,1,9,4,-1
1,4,9,1,-1
4,3,1,2,-1
1,3,7,2,-1
1,1,18,2,-1
3,3,1,1,-1
1,1,16,3,-1
1,3,5,2,-1
1,5,9,1,-1
1,1,18,2,-1
1,1,15,3,-1
2,3,1,2,-1
1,1,11,3,-1
1,5,9,1,-1
1,1,18,2,-1
1,1,13,3,-1
1,2,5,3,-1
1,1,11,3,-1
1,3,5,2,-1
3,6,7,1,1
1,6,7,1,1
4,5,5,3,1
7,1,11,3,1
6,4,7,3,1
7,6,1,1,1
7,3,11,3,1
4,5,7,3,1
3,2,9,3,1
7,2,9,3,1
7,3,7,4,1
3,6,5,1,1
7,1,9,3,1
7,4,5,3,1
7,3,9,3,1
4,5,9,2,1
7,3,9,3,1
1,5,11,1,1
7,3,9,3,1
7,4,7,3,1
7,1,11,3,1
7,1,11,3,1
5,1,11,3,1
3,4,9,3,1
4,2,13,3,1
6,1,16,2,1
7,1,13,3,1
4,5,7,3,1
3,3,11,3,1
7,6,1,1,1
7,1,11,4,1
6,1,13,3,1
4,5,7,2,1
7,2,11,3,1
2,1,13,3,1
1,6,11,2,1
5,3,11,3,1
1,6,9,1,1
7,3,5,3,1
5,1,13,3,1
7,6,1,1,1
7,1,11,3,1
7,4,5,3,1
2,4,9,3,1
7,5,1,3,1
1,2,13,3,1
3,1,12,3,1
7,1,11,3,1
7,4,3,3,1
3,6,7,1,1
4,3,13,3,1
7,1,9,3,1
7,1,11,3,1
3,3,11,3,1
3,5,1,1,1
7,3,5,3,1
5,1,16,3,1
2,5,7,2,1
7,1,11,3,1
2,5,1,2,1
7,3,7,3,1
2,5,11,1,1
1,2,16,3,1
6,4,9,3,1
7,3,9,3,1
1,6,11,1,1
7,2,11,4,1
2,4,9,3,1
7,1,13,3,1
7,2,9,3,1
7,1,11,3,1
6,3,5,3,1
3,3,13,3,1
3,4,9,3,1
3,3,11,3,1
7,5,1,3,1
7,5,1,2,1
